epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1068.3,0.83525,1.0748,0.6592,0.98318,0.79291,0.53469,0.7222,0.42316,0.7591,0.57441,0.71941,0.36777,1.4068,1.90837,1.2863,1.42858,0.000932603,0.000932603,0.000932603
91,1078.56,0.83428,1.06905,0.64326,0.9932,0.8211,0.63199,0.73461,0.4445,0.8723,0.65366,0.77598,0.38435,1.38729,1.82399,1.0699,1.47425,0.000924352,0.000924352,0.000924352
92,1088.88,0.85184,1.0858,0.61442,1.0019,0.76076,0.66213,0.73167,0.41439,0.78523,0.67907,0.7458,0.37014,1.48035,1.8433,1.08611,1.50854,0.0009161,0.0009161,0.0009161
93,1099.08,0.83059,1.05432,0.61752,0.97794,0.71527,0.67599,0.71743,0.41964,0.74029,0.69391,0.74779,0.37204,1.4236,1.96024,1.09515,1.49054,0.000907848,0.000907848,0.000907848
94,1109.45,0.86439,1.07771,0.66017,0.9852,0.77295,0.64378,0.75696,0.45461,0.81963,0.60073,0.74043,0.37142,1.54108,1.88605,1.10847,1.56196,0.000899597,0.000899597,0.000899597
95,1118.91,0.81866,1.07067,0.62641,0.96677,0.76512,0.71416,0.78306,0.48322,0.77679,0.72263,0.80131,0.39691,1.48906,1.73497,1.0185,1.47469,0.000891345,0.000891345,0.000891345
96,1129.55,0.8016,1.08901,0.62946,0.97564,0.69431,0.70898,0.7405,0.45714,0.70011,0.72111,0.74496,0.38405,1.44113,2.18329,0.98815,1.49065,0.000883093,0.000883093,0.000883093
97,1140.01,0.75871,0.94676,0.57439,0.96277,0.66047,0.74031,0.73328,0.4465,0.70042,0.69368,0.73554,0.37446,1.4151,2.0988,0.96005,1.46219,0.000874842,0.000874842,0.000874842
98,1150.24,0.82369,1.03697,0.61903,0.97746,0.65555,0.74391,0.72494,0.40264,0.68137,0.77839,0.76134,0.37729,1.46332,1.93502,1.13158,1.54606,0.00086659,0.00086659,0.00086659
99,1160.12,0.83487,1.07459,0.61778,0.99073,0.78767,0.61347,0.73863,0.41865,0.8333,0.64459,0.75912,0.36344,1.4747,1.85334,0.95512,1.5911,0.000858338,0.000858338,0.000858338
100,1170.1,0.78541,1.00798,0.57588,0.96212,0.72609,0.74165,0.76982,0.45471,0.75671,0.73242,0.78604,0.39652,1.46165,1.67964,0.99716,1.53668,0.000850087,0.000850087,0.000850087
101,1180.4,0.77517,0.99781,0.56168,0.97211,0.73352,0.70508,0.73609,0.45204,0.71314,0.68754,0.74038,0.39276,1.46005,1.80937,1.04662,1.53612,0.000841835,0.000841835,0.000841835
102,1190.83,0.77517,0.9829,0.56161,0.95921,0.68637,0.75117,0.73025,0.45855,0.68293,0.76502,0.73464,0.38935,1.39044,1.89992,1.09552,1.46711,0.000833583,0.000833583,0.000833583
103,1201.05,0.78819,1.00277,0.60255,0.98201,0.70033,0.69448,0.71316,0.40825,0.71796,0.71968,0.72851,0.36752,1.47332,1.72687,1.27417,1.47438,0.000825332,0.000825332,0.000825332
104,1210.69,0.77318,1.01546,0.57551,0.98023,0.65712,0.73021,0.74443,0.42359,0.68155,0.76322,0.75647,0.36317,1.6306,1.80209,1.3317,1.57096,0.00081708,0.00081708,0.00081708
105,1220.98,0.81746,1.05237,0.59036,0.9748,0.72126,0.77447,0.73939,0.43601,0.71923,0.73969,0.73286,0.36434,1.47754,1.8492,1.23789,1.54687,0.000808828,0.000808828,0.000808828
106,1231.2,0.80393,1.00067,0.58276,0.97496,0.73865,0.70807,0.7505,0.43105,0.73838,0.69661,0.74295,0.35733,1.62707,1.80996,1.25599,1.64275,0.000800577,0.000800577,0.000800577
107,1241.66,0.80019,0.99262,0.58181,0.96323,0.67137,0.71236,0.69592,0.43775,0.69745,0.73731,0.73803,0.37169,1.64328,1.84115,1.13657,1.63296,0.000792325,0.000792325,0.000792325
108,1252.35,0.76393,0.95926,0.55401,0.95825,0.67882,0.70273,0.76167,0.4617,0.67963,0.70221,0.75082,0.39263,1.60349,1.89235,1.17021,1.51466,0.000784073,0.000784073,0.000784073
109,1261.8,0.76402,0.97055,0.56727,0.96218,0.87909,0.64459,0.78158,0.48067,0.86685,0.63581,0.77053,0.40008,1.5957,1.87759,1.16143,1.57424,0.000775822,0.000775822,0.000775822
110,1271.83,0.78467,1.03477,0.562,0.98426,0.71559,0.71446,0.75366,0.46532,0.68854,0.74894,0.76952,0.40467,1.67279,1.83111,1.12329,1.68015,0.00076757,0.00076757,0.00076757
111,1282.29,0.80478,0.98138,0.57865,0.98428,0.6844,0.74864,0.75206,0.47256,0.70798,0.76558,0.78539,0.40217,1.62851,1.75289,1.10936,1.63802,0.000759318,0.000759318,0.000759318
112,1292.7,0.75055,0.95743,0.56166,0.95861,0.69536,0.65811,0.71172,0.43353,0.72014,0.68358,0.75025,0.38688,1.63634,1.74231,1.06728,1.68734,0.000751067,0.000751067,0.000751067
113,1302.36,0.7541,0.98221,0.55077,0.9536,0.66824,0.75493,0.71068,0.44508,0.72562,0.69164,0.7416,0.39425,1.5327,1.7684,1.07789,1.53595,0.000742815,0.000742815,0.000742815
114,1312.46,0.74818,0.98103,0.55337,0.95585,0.65769,0.7185,0.73901,0.43821,0.6869,0.74058,0.7883,0.37931,1.46289,1.98502,1.21673,1.42473,0.000734564,0.000734564,0.000734564
